Temps;Canal A;Canal B
(ms);(V);(V)

0,00000000;0,00762963;5,10177900
0,16384000;0,00762963;5,19272400
0,32768000;0,00762963;5,10177900
0,49152000;0,00762963;5,19272400
0,65536000;0,00762963;5,10177900
0,81920000;0,00762963;5,10177900
0,98303999;0,00762963;5,10177900
1,14687999;0,00762963;5,10177900
1,31071999;0,00762963;5,10177900
1,47455999;0,00762963;5,19272400
1,63839999;-0,08209479;5,10177900
1,80223999;0,00762963;5,10177900
1,96607999;0,00762963;5,10177900
2,12991999;0,00762963;5,10177900
2,29375999;0,00762963;5,10177900
2,45759999;0,00762963;5,10177900
2,62143998;0,09735405;5,10177900
2,78527998;0,18707850;5,10177900
2,94911998;0,18707850;5,19272400
3,11295998;0,27680290;5,10177900
3,27679998;0,36652730;5,10177900
3,44063998;0,45655690;5,10177900
3,60447998;0,45655690;5,19272400
3,76831998;0,54628130;5,10177900
3,93215998;0,63600580;5,19272400
4,09599998;0,72573020;5,10177900
4,25983997;0,81575980;4,91958400
4,42367997;0,90548420;4,28174700
4,58751997;0,99520860;3,64391000
4,75135997;0,99520860;3,46171500
4,91519997;1,08493300;3,09701800
5,07903997;1,08493300;3,00607300
5,24287997;1,26468700;3,00607300
5,40671997;1,35441100;3,00607300
5,57055997;1,44413600;2,91482300
5,73439997;1,53416600;3,00607300
5,89823996;1,71361400;3,00607300
6,06207996;1,80333900;3,00607300
6,22591996;1,89336800;3,00607300
6,38975996;1,98309300;3,00607300
6,55359996;2,07281700;3,00607300
6,71743996;2,25257100;3,00607300
6,88127996;2,34229600;3,00607300
7,04511996;2,43202000;3,00607300
7,20895996;2,52174400;3,00607300
7,37279996;2,61177400;3,00607300
7,53663995;2,70149900;2,91482300
7,70047995;2,79122300;3,00607300
7,86431995;2,79122300;3,00607300
8,02815995;2,88094700;3,00607300
8,19199995;2,97097700;3,00607300
8,35583995;2,97097700;3,00607300
8,51967995;2,97097700;3,09701800
8,68351995;2,97097700;3,00607300
8,84735995;2,97097700;3,00607300
9,01119995;2,97097700;3,00607300
9,17503994;2,97097700;3,09701800
9,33887994;2,88094700;3,00607300
9,50271994;2,88094700;3,00607300
9,66655994;2,79122300;3,00607300
9,83039994;2,79122300;3,00607300
9,99423994;2,70149900;3,00607300
10,15807994;2,52174400;3,00607300
10,32191994;2,43202000;3,00607300
10,48575994;2,34229600;3,00607300
10,64959994;2,16254200;3,00607300
10,81343993;1,98309300;3,00607300
10,97727993;1,80333900;3,00607300
11,14111993;1,71361400;3,00607300
11,30495993;1,53416600;3,00607300
11,46879993;1,26468700;3,09701800
11,63263993;1,17496300;3,00607300
11,79647993;0,99520860;3,00607300
11,96031993;0,90548420;3,00607300
12,12415993;0,72573020;3,00607300
12,28799993;0,72573020;3,09701800
12,45183992;0,54628130;3,09701800
12,61567992;0,54628130;3,09701800
12,77951992;0,45655690;3,37046400
12,94335992;0,36652730;3,64391000
13,10719992;0,27680290;3,91705100
13,27103992;0,27680290;4,46394300
13,43487992;0,18707850;4,91958400
13,59871992;0,18707850;5,10177900
13,76255992;0,18707850;5,10177900
13,92639992;0,18707850;5,19272400
14,09023991;0,18707850;5,10177900
14,25407991;0,09735405;5,10177900
14,41791991;0,09735405;5,10177900
14,58175991;0,09735405;5,19272400
14,74559991;0,09735405;5,10177900
14,90943991;0,00762963;5,19272400
15,07327991;0,09735405;5,10177900
15,23711991;0,00762963;5,19272400
15,40095991;0,00762963;5,10177900
15,56479991;0,00762963;5,19272400
15,72863990;0,00762963;5,10177900
15,89247990;0,00762963;5,10177900
16,05631990;0,00762963;5,10177900
16,22015990;0,00762963;5,19272400
16,38399990;0,00762963;5,10177900
16,54783990;0,00762963;5,10177900
16,71167990;0,00762963;5,10177900
16,87551990;0,00762963;5,10177900
17,03935990;0,00762963;5,19272400
17,20319990;0,00762963;5,19272400
17,36703989;-0,08209479;5,10177900
17,53087989;0,00762963;5,10177900
17,69471989;0,00762963;5,10177900
17,85855989;0,00762963;5,10177900
18,02239989;0,00762963;5,19272400
18,18623989;0,00762963;5,19272400
18,35007989;0,00762963;5,19272400
18,51391989;0,00762963;5,10177900
18,67775989;0,00762963;5,19272400
18,84159989;0,00762963;5,10177900
19,00543988;-0,08209479;5,10177900
19,16927988;0,00762963;5,19272400
19,33311988;0,00762963;5,10177900
19,49695988;0,00762963;5,19272400
19,66079988;-0,08209479;5,19272400
19,82463988;0,00762963;5,19272400
19,98847988;0,00762963;5,19272400
20,15231988;0,00762963;5,10177900
20,31615988;0,00762963;5,19272400
20,47999988;-0,08209479;5,19272400
