Temps;Canal B
(ms);(V)

0,00000000;0,63692130
0,08192000;0,63692130
0,16384000;0,54597620
0,24576000;0,54597620
0,32768000;0,54597620
0,40960000;0,54597620
0,49152000;0,45472580
0,57344000;0,45472580
0,65536000;0,36378060
0,73728000;0,36378060
0,81920000;0,36378060
0,90111999;0,27283550
0,98303999;0,27283550
1,06495999;0,27283550
1,14687999;0,18158510
1,22879999;0,18158510
1,31071999;0,18158510
1,39263999;0,18158510
1,47455999;0,18158510
1,55647999;0,18158510
1,63839999;0,09063997
1,72031999;0,09063997
1,80223999;-0,00061037
1,88415999;-0,00061037
1,96607999;0,09063997
2,04799999;-0,00061037
2,12991999;-0,00061037
2,21183999;-0,00061037
2,29375999;-0,00061037
2,37567999;-0,00061037
2,45759999;-0,00061037
2,53951998;-0,00061037
2,62143998;-0,00061037
2,70335998;-0,00061037
2,78527998;-0,00061037
2,86719998;-0,00061037
2,94911998;-0,00061037
3,03103998;-0,00061037
3,11295998;0,09063997
3,19487998;-0,00061037
3,27679998;-0,00061037
3,35871998;-0,00061037
3,44063998;-0,00061037
3,52255998;-0,00061037
3,60447998;-0,00061037
3,68639998;-0,00061037
3,76831998;-0,00061037
3,85023998;-0,00061037
3,93215998;-0,00061037
4,01407998;-0,00061037
4,09599998;-0,00061037
4,17791997;-0,00061037
4,25983997;-0,00061037
4,34175997;-0,00061037
4,42367997;-0,00061037
4,50559997;-0,00061037
4,58751997;-0,00061037
4,66943997;-0,00061037
4,75135997;-0,00061037
4,83327997;-0,00061037
4,91519997;-0,00061037
4,99711997;-0,00061037
5,07903997;-0,00061037
5,16095997;-0,00061037
5,24287997;-0,00061037
5,32479997;-0,00061037
5,40671997;-0,00061037
5,48863997;-0,00061037
5,57055997;-0,00061037
5,65247997;-0,00061037
5,73439997;-0,00061037
5,81631996;-0,00061037
5,89823996;-0,00061037
5,98015996;-0,00061037
6,06207996;-0,00061037
6,14399996;-0,00061037
6,22591996;-0,00061037
6,30783996;-0,00061037
6,38975996;-0,00061037
6,47167996;-0,00061037
6,55359996;-0,00061037
6,63551996;-0,00061037
6,71743996;-0,00061037
6,79935996;-0,00061037
6,88127996;-0,00061037
6,96319996;-0,00061037
7,04511996;-0,00061037
7,12703996;-0,00061037
7,20895996;-0,00061037
7,29087996;-0,00061037
7,37279996;-0,00061037
7,45471995;-0,00061037
7,53663995;-0,00061037
7,61855995;-0,00061037
7,70047995;-0,00061037
7,78239995;-0,00061037
7,86431995;-0,00061037
7,94623995;-0,00061037
8,02815995;-0,00061037
8,11007995;-0,00061037
8,19199995;-0,00061037
8,27391995;-0,00061037
8,35583995;-0,00061037
8,43775995;-0,00061037
8,51967995;-0,00061037
8,60159995;-0,00061037
8,68351995;-0,00061037
8,76543995;-0,00061037
8,84735995;-0,00061037
8,92927995;-0,00061037
9,01119995;-0,00061037
9,09311994;-0,00061037
9,17503994;-0,00061037
9,25695994;-0,00061037
9,33887994;-0,00061037
9,42079994;0,09063997
9,50271994;-0,00061037
9,58463994;-0,00061037
9,66655994;-0,00061037
9,74847994;-0,00061037
