Temps;Canal A;Canal B
(ms);(mV);(mV)

-500,69504976;0,56459240;-0,05340739
-500,36736976;0,56459240;-0,05340739
-500,03968977;0,56459240;-0,49745170
-499,71200977;0,56459240;-0,05340739
-499,38432977;-3,81481300;-0,05340739
-499,05664977;0,56459240;-0,05340739
-498,72896977;0,56459240;-0,05340739
-498,40128978;0,56459240;-0,05340739
-498,07360978;0,56459240;-0,05340739
-497,74592978;0,56459240;-0,49745170
-497,41824978;-3,81481300;-0,05340739
-497,09056978;-3,81481300;-0,05340739
-496,76288979;-3,81481300;-0,05340739
-496,43520979;0,56459240;-0,05340739
-496,10752979;0,56459240;-0,05340739
-495,77984979;0,56459240;-0,05340739
-495,45216979;-3,81481300;-0,05340739
-495,12448980;0,56459240;-0,05340739
-494,79680980;0,56459240;-0,05340739
-494,46912980;-3,81481300;-0,49745170
-494,14144980;0,56459240;-0,05340739
-493,81376980;0,56459240;0,39216280
-493,48608981;-3,81481300;-0,49745170
-493,15840981;0,56459240;-0,05340739
-492,83072981;0,56459240;-0,05340739
-492,50304981;0,56459240;-0,49745170
-492,17536981;0,56459240;-0,05340739
-491,84768982;0,56459240;-0,05340739
-491,52000982;0,56459240;-0,49745170
-491,19232982;-3,81481300;-0,05340739
-490,86464982;0,56459240;-0,49745170
-490,53696982;-3,81481300;-0,05340739
-490,20928983;0,56459240;-0,05340739
-489,88160983;-3,81481300;-0,05340739
-489,55392983;0,56459240;-0,05340739
-489,22624983;0,56459240;-0,05340739
-488,89856983;0,56459240;-0,05340739
-488,57088984;0,56459240;-0,05340739
-488,24320984;0,56459240;-0,05340739
-487,91552984;0,56459240;-0,05340739
-487,58784984;0,56459240;-0,05340739
-487,26016984;0,56459240;-0,05340739
-486,93248985;0,56459240;-0,05340739
-486,60480985;0,56459240;-0,05340739
-486,27712985;0,56459240;-0,05340739
-485,94944985;0,56459240;-0,05340739
-485,62176985;0,56459240;-0,05340739
-485,29408986;0,56459240;-0,05340739
-484,96640986;-3,81481300;-0,05340739
-484,63872986;0,56459240;-0,05340739
-484,31104986;0,56459240;-0,05340739
-483,98336986;0,56459240;-0,05340739
-483,65568987;0,56459240;-0,05340739
-483,32800987;0,56459240;-0,49745170
-483,00032987;0,56459240;-0,05340739
-482,67264987;-3,81481300;-0,05340739
-482,34496987;0,56459240;-0,05340739
-482,01728988;0,56459240;-0,05340739
-481,68960988;0,56459240;-0,05340739
-481,36192988;0,56459240;-0,05340739
-481,03424988;-3,81481300;-0,05340739
-480,70656988;-3,81481300;-0,05340739
-480,37888989;0,56459240;-0,05340739
-480,05120989;-3,81481300;-0,05340739
-479,72352989;-3,81481300;-0,05340739
-479,39584989;0,56459240;-0,05340739
-479,06816989;0,56459240;-0,05340739
-478,74048990;0,56459240;-0,49745170
-478,41280990;0,56459240;-0,05340739
-478,08512990;0,56459240;-0,05340739
-477,75744990;0,56459240;0,39216280
-477,42976990;0,56459240;-0,49745170
-477,10208991;0,56459240;-0,05340739
-476,77440991;0,56459240;-0,49745170
-476,44672991;-3,81481300;-0,05340739
-476,11904991;-3,81481300;-0,05340739
-475,79136991;0,56459240;-0,05340739
-475,46368992;0,56459240;0,39216280
-475,13600992;0,56459240;-0,05340739
-474,80832992;0,56459240;-0,05340739
-474,48064992;0,56459240;-0,05340739
-474,15296992;0,56459240;-0,05340739
-473,82528993;0,56459240;-0,05340739
-473,49760993;0,56459240;-0,05340739
-473,16992993;0,56459240;-0,05340739
-472,84224993;0,56459240;-0,05340739
-472,51456993;0,56459240;-0,05340739
-472,18688994;0,56459240;-0,05340739
-471,85920994;-3,81481300;-0,05340739
-471,53152994;0,56459240;0,39216280
-471,20384994;0,56459240;-0,05340739
-470,87616994;0,56459240;-0,05340739
-470,54848995;0,56459240;-0,05340739
-470,22080995;0,56459240;-0,05340739
-469,89312995;-3,81481300;-0,05340739
-469,56544995;0,56459240;-0,05340739
-469,23776995;0,56459240;-0,05340739
-468,91008996;0,56459240;-0,05340739
-468,58240996;-3,81481300;-0,05340739
-468,25472996;0,56459240;-0,05340739
-467,92704996;0,56459240;-0,05340739
-467,59936996;0,56459240;-0,49745170
-467,27168997;-3,81481300;-0,05340739
-466,94400997;0,56459240;-0,49745170
-466,61632997;0,56459240;0,39216280
-466,28864997;0,56459240;-0,05340739
-465,96096997;0,56459240;0,39216280
-465,63328998;0,56459240;-0,05340739
-465,30560998;0,56459240;-0,05340739
-464,97792998;0,56459240;-0,05340739
-464,65024998;0,56459240;-0,05340739
-464,32256998;0,56459240;-0,05340739
-463,99488999;0,56459240;-0,05340739
-463,66720999;-3,81481300;-0,05340739
-463,33952999;-3,81481300;-0,05340739
-463,01184999;-3,81481300;-0,05340739
-462,68416999;0,56459240;-0,05340739
-462,35649000;0,56459240;-0,05340739
-462,02881000;0,56459240;0,39216280
-461,70113000;0,56459240;-0,05340739
-461,37345000;0,56459240;-0,05340739
-461,04577000;-3,81481300;-0,49745170
-460,71809001;0,56459240;-0,49745170
-460,39041001;0,56459240;-0,05340739
-460,06273001;-3,81481300;-0,49745170
-459,73505001;0,56459240;-0,05340739
-459,40737001;0,56459240;-0,49745170
-459,07969002;0,56459240;-0,49745170
-458,75201002;0,56459240;-0,05340739
-458,42433002;0,56459240;-0,05340739
-458,09665002;0,56459240;-0,05340739
-457,76897002;0,56459240;-0,05340739
-457,44129003;0,56459240;-0,05340739
-457,11361003;-3,81481300;-0,49745170
-456,78593003;0,56459240;-0,05340739
-456,45825003;-3,81481300;-0,05340739
-456,13057003;0,56459240;-0,05340739
-455,80289004;0,56459240;-0,05340739
-455,47521004;0,56459240;-0,05340739
-455,14753004;0,56459240;-0,05340739
-454,81985004;0,56459240;-0,05340739
-454,49217004;0,56459240;-0,05340739
-454,16449005;-3,81481300;-0,05340739
-453,83681005;0,56459240;-0,05340739
-453,50913005;0,56459240;-0,05340739
-453,18145005;0,56459240;-0,05340739
-452,85377005;0,56459240;-0,05340739
-452,52609006;-3,81481300;-0,49745170
-452,19841006;0,56459240;-0,05340739
-451,87073006;-3,81481300;-0,05340739
-451,54305006;0,56459240;-0,05340739
-451,21537006;0,56459240;-0,05340739
